Category,Company,Slogan,Logo_Link,Logo_File,r,g,b
drinking,Mello Yello,Make The Mello Yello Move.,https://www.sloganlist.com/upfile/201905/2019051179239841.png,images/drinking/Mello_Yello.png,4,4,4
drinking,Limca,It's veri veri Lime & Lemoni.,https://www.sloganlist.com/upfile/201905/2019051179421737.png,images/drinking/Limca.png,9,101,61
drinking,Lilt,the totally tropical taste.,https://www.sloganlist.com/upfile/201905/2019052380703081.png,images/drinking/Lilt.png,19,117,63
drinking,Inca Kola,Let's go for more.,https://www.sloganlist.com/upfile/201905/2019051179856529.png,images/drinking/Inca_Kola.png,26,79,162
drinking,Fresca,Nothing tastes like Fresca.,https://www.sloganlist.com/upfile/201905/2019051180118473.png,images/drinking/Fresca.png,186,222,231
drinking,Barq's,Barq's has bite!,https://www.sloganlist.com/upfile/201905/2019051180302201.png,images/drinking/Barq's.png,215,213,203
drinking,Pepsi Zero Sugar,Get Buckets.,https://www.sloganlist.com/upfile/201905/2019051040735345.png,images/drinking/Pepsi_Zero_Sugar.png,227,10,41
drinking,Horlicks,the food drink of the night.,https://www.sloganlist.com/upfile/201905/2019051040868533.png,images/drinking/Horlicks.png,198,209,226
drinking,Evoca Cola,The original Black Seed Cola.,https://www.sloganlist.com/upfile/201905/2019051041162909.png,images/drinking/Evoca_Cola.png,219,28,44
drinking,Jolly Cola,Free your taste.,https://www.sloganlist.com/upfile/201905/2019051041342549.png,images/drinking/Jolly_Cola.png,33,31,28
drinking,Sunkist (soft drink),Good Vibrations.,https://www.sloganlist.com/upfile/201905/2019051041488765.png,images/drinking/Sunkist_(soft_drink).png,20,90,163
drinking,Shasta (soft drink),It hasta be Shasta!,https://www.sloganlist.com/upfile/201905/2019051041735125.png,images/drinking/Shasta_(soft_drink).png,236,16,20
drinking,Codorniu,The Culture of Pleasure.,https://www.sloganlist.com/upfile/201905/2019051041997109.png,images/drinking/Codorniu.png,23,20,14
drinking,Jacob's Creek,Say when.,https://www.sloganlist.com/upfile/201905/2019051042255593.png,images/drinking/Jacob's_Creek.png,4,4,4
drinking,Sutter Home Winery,Taste the Commitment.,https://www.sloganlist.com/upfile/201905/2019052381313593.png,images/drinking/Sutter_Home_Winery.png,4,4,4
drinking,Blavod,Outrageously Smooth.,https://www.sloganlist.com/upfile/201905/2019051042652361.png,images/drinking/Blavod.png,252,32,10
drinking,Patron Tequila,Simply perfect.,https://www.sloganlist.com/upfile/201905/2019051042911125.png,images/drinking/Patron_Tequila.png,36,36,36
drinking,Tanqueray,Ready to Tanqueray?,https://www.sloganlist.com/upfile/201905/2019051042476781.png,images/drinking/Tanqueray.png,152,25,28
drinking,Dreher Breweries,Itâs whatâs inside that truly counts.,https://www.sloganlist.com/upfile/201905/2019050743741557.png,images/drinking/Dreher_Breweries.png,251,199,205
drinking,Staropramen Brewery,Get A Taste Of Prague.,https://www.sloganlist.com/upfile/202009/2020091484144201.png,images/drinking/Staropramen_Brewery.png,39,59,32
drinking,Adnams,"Southwold, by the pint.",https://www.sloganlist.com/upfile/201905/2019050741762401.png,images/drinking/Adnams.png,234,140,52
drinking,Carlton Cold,Nothingâs as fresh as a Coldie.,https://www.sloganlist.com/upfile/201905/2019050741436117.png,images/drinking/Carlton_Cold.png,10,10,10
drinking,Schaefer Beer,Americaâs Oldest Lager Beer.,https://www.sloganlist.com/upfile/201905/2019050740831585.png,images/drinking/Schaefer_Beer.png,217,179,126
drinking,Minute Maid,Loaded with Taste.,https://www.sloganlist.com/upfile/201904/2019042902882454.png,images/drinking/Minute_Maid.png,196,202,171
drinking,Harp Lager,Look on the Harp side.,https://www.sloganlist.com/upfile/201904/2019042903546516.jpg,images/drinking/Harp_Lager.jpg,12,12,12
drinking,Poland Spring,Born Better.,https://www.sloganlist.com/upfile/201904/2019042903007235.png,images/drinking/Poland_Spring.png,4,116,84
drinking,Appy Fizz,Cool Drink to Hang Around With.,https://www.sloganlist.com/upfile/201904/2019042903127876.jpg,images/drinking/Appy_Fizz.jpg,11,10,10
drinking,Joseph Schlitz Brewing Company,The beer that made Milwaukee famous.,https://www.sloganlist.com/upfile/201911/2019111458097661.png,images/drinking/Joseph_Schlitz_Brewing_Company.png,145,66,56
drinking,Frooti,Juice Up your Life.,https://www.sloganlist.com/upfile/201904/2019042903390516.png,images/drinking/Frooti.png,4,100,60
drinking,Cointreau,Be cointreauversial.,https://www.sloganlist.com/upfile/201904/2019042438413397.png,images/drinking/Cointreau.png,223,118,26
drinking,Disaronno,Taste the seduction,https://www.sloganlist.com/upfile/201904/2019042438606849.png,images/drinking/Disaronno.png,18,27,35
drinking,Norrlands Guld,Be yourself for a while,https://www.sloganlist.com/upfile/201904/2019042439975629.png,images/drinking/Norrlands_Guld.png,24,49,71
drinking,Mackeson Beer,king of the night.,https://www.sloganlist.com/upfile/201905/2019050744006729.png,images/drinking/Mackeson_Beer.png,187,66,55
drinking,Tuborg,Beer YOURSELF,https://www.sloganlist.com/upfile/201904/2019042438811849.png,images/drinking/Tuborg.png,7,43,25
drinking,Cafe Britt,From our plantation to your cup!,https://www.sloganlist.com/upfile/201904/2019042081917873.png,images/drinking/Cafe_Britt.png,233,224,200
drinking,Boost (drink),Refresh yourself.,https://www.sloganlist.com/upfile/201904/2019041959827357.jpg,images/drinking/Boost_(drink).jpg,226,232,237
drinking,Shloer,Get your sparkle!,https://www.sloganlist.com/upfile/201904/2019041959284653.png,images/drinking/Shloer.png,4,4,4
drinking,Grey Goose (vodka),The worldâs best tasting vodka.,https://www.sloganlist.com/upfile/201904/2019041742582077.jpg,images/drinking/Grey_Goose_(vodka).jpg,233,243,248
drinking,Ballantine's,Play in moderation.,https://www.sloganlist.com/upfile/201904/2019041742747541.png,images/drinking/Ballantine's.png,36,36,36
drinking,Jose Cuervo,Donât let go.,https://www.sloganlist.com/upfile/201904/2019041742841917.png,images/drinking/Jose_Cuervo.png,203,203,203
drinking,Black Velvet (whisky),Feel the Velvet,https://www.sloganlist.com/upfile/201904/2019041743006965.jpg,images/drinking/Black_Velvet_(whisky).jpg,17,17,17
drinking,Houghton Wines,Perfect for when friends drop in.,https://www.sloganlist.com/upfile/201904/2019041579315017.jpg,images/drinking/Houghton_Wines.jpg,234,230,212
drinking,Lindeman's,You make me smile.,https://www.sloganlist.com/upfile/201904/2019041578600329.jpg,images/drinking/Lindeman's.jpg,48,49,48
drinking,United Breweries,The King of Good Times.,https://www.sloganlist.com/upfile/201904/2019041138750237.png,images/drinking/United_Breweries.png,35,67,148
drinking,Caribou Coffee,Stay awake for it,https://www.sloganlist.com/upfile/201904/2019042440186925.png,images/drinking/Caribou_Coffee.png,130,178,191
drinking,RicorÃ©,Friend RicorÃ©.,https://www.sloganlist.com/upfile/202009/2020091537592289.png,images/drinking/RicorÃ©.png,231,202,69
drinking,High Point (coffee),Decaffeinate the ones you love.,https://www.sloganlist.com/upfile/201902/2019022242278725.jpg,images/drinking/High_Point_(coffee).jpg,142,55,60
drinking,Guglielmo coffee,the coffee that hits the spot.,https://www.sloganlist.com/upfile/202009/2020091536503933.png,images/drinking/Guglielmo_coffee.png,240,146,43
drinking,Postum,There's a Reason.,https://www.sloganlist.com/upfile/201902/2019022240920381.png,images/drinking/Postum.png,23,80,155
drinking,MiO,Flip it. Tip it. Sip it!,https://www.sloganlist.com/upfile/201902/2019022240625301.jpg,images/drinking/MiO.jpg,50,128,177
drinking,Gold Spot,The Zing Thing.,https://www.sloganlist.com/upfile/201902/2019022240085489.png,images/drinking/Gold_Spot.png,4,156,54
drinking,Frugo,Let's Frugo.,https://www.sloganlist.com/upfile/201902/2019022239902489.png,images/drinking/Frugo.png,4,4,4
drinking,Gilbey's gin,Taste the smoothest gin today.,https://www.sloganlist.com/upfile/201902/2019021748309029.jpg,images/drinking/Gilbey's_gin.jpg,225,225,224
drinking,Go Fast!,Pure Energy.,https://www.sloganlist.com/upfile/201902/2019021747498153.jpg,images/drinking/Go_Fast!.jpg,215,210,210
drinking,Haig (whisky),"Donât Be Vague, Ask For A Haig.",https://www.sloganlist.com/upfile/201902/2019021703242122.jpg,images/drinking/Haig_(whisky).jpg,229,223,210
drinking,A Twosome Place,"A cup of coffee, TWO of us",https://www.sloganlist.com/upfile/201901/2019012345894485.jpg,images/drinking/A_Twosome_Place.jpg,65,59,63
drinking,Tiger Energy Drink,Power is back!,https://www.sloganlist.com/upfile/201901/2019012055171377.jpg,images/drinking/Tiger_Energy_Drink.jpg,12,9,9
drinking,Um Bongo,The great flavour of the jungle,https://www.sloganlist.com/upfile/201901/2019012054042765.png,images/drinking/Um_Bongo.png,240,134,185
drinking,Super Bock,The beer that goes beyond your expectations,https://www.sloganlist.com/upfile/201901/2019011941418805.png,images/drinking/Super_Bock.png,170,53,50
drinking,Bell's whisky,Afore ye go.,https://www.sloganlist.com/upfile/201901/2019011759662269.png,images/drinking/Bell's_whisky.png,161,35,56
drinking,Irn-Bru,Gets you through.,https://www.sloganlist.com/upfile/201901/2019011759326097.jpg,images/drinking/Irn-Bru.jpg,236,123,41
drinking,Apollinaris (water),âThe Queen of Table Waters.,https://www.sloganlist.com/upfile/201901/2019010563375813.png,images/drinking/Apollinaris_(water).png,163,59,61
drinking,Licher Brewery,From the Heart of Nature,https://www.sloganlist.com/upfile/202009/2020091483045889.png,images/drinking/Licher_Brewery.png,11,44,15
drinking,Bitburger Brewery,Bitte ein Bit.,https://www.sloganlist.com/upfile/201901/2019010561183297.png,images/drinking/Bitburger_Brewery.png,170,167,168
drinking,Banania,the y'a bon buddy.,https://www.sloganlist.com/upfile/201901/2019010439404001.jpg,images/drinking/Banania.jpg,28,55,178
drinking,Nabob (coffee),"Better beans, better coffee, better planet.",https://www.sloganlist.com/upfile/201901/2019010344390281.png,images/drinking/Nabob_(coffee).png,183,182,105
drinking,Carling Black Label,"Hey Mabel, Black Label!",https://www.sloganlist.com/upfile/202009/2020091485639153.png,images/drinking/Carling_Black_Label.png,87,87,87
drinking,Solo,Game On.,https://www.sloganlist.com/upfile/201812/2018122953448977.png,images/drinking/Solo.png,28,27,22
drinking,Milo,MILO Everyday!,https://www.sloganlist.com/upfile/201812/2018122943779557.jpg,images/drinking/Milo.jpg,236,224,198
drinking,Manischewitz,Man-O-Manischewitz What a Wine!,https://www.sloganlist.com/upfile/201812/2018122862275129.jpg,images/drinking/Manischewitz.jpg,24,66,52
drinking,National Bohemian,What a beer!,https://www.sloganlist.com/upfile/202009/2020091485766593.png,images/drinking/National_Bohemian.png,27,27,27
drinking,Christian Schmidt Brewing Company,One Beautiful Beer.,https://www.sloganlist.com/upfile/202009/2020091486015241.png,images/drinking/Christian_Schmidt_Brewing_Company.png,19,22,27
drinking,Costa Coffee,For coffee lovers.,https://www.sloganlist.com/upfile/201811/2018111936324517.png,images/drinking/Costa_Coffee.png,151,53,70
drinking,Camp Coffee,Ready aye ready.,https://www.sloganlist.com/upfile/201811/2018111762676093.jpg,images/drinking/Camp_Coffee.jpg,240,246,246
drinking,Luzianne,Take a fresh look at your iced tea.,https://www.sloganlist.com/upfile/201811/2018111762123109.jpg,images/drinking/Luzianne.jpg,246,237,234
drinking,5-hour Energy,Hours and hours of energy.,https://www.sloganlist.com/upfile/201811/2018111761873453.png,images/drinking/5-hour_Energy.png,16,34,54
drinking,Full Throttle,Feel the energy at work.,https://www.sloganlist.com/upfile/201811/2018111761583049.png,images/drinking/Full_Throttle.png,32,25,32
drinking,V Energy,It all starts with V.,https://www.sloganlist.com/upfile/201811/2018111760336125.png,images/drinking/V_Energy.png,128,187,82
drinking,Relentless (drink),Be Relentless.,https://www.sloganlist.com/upfile/201811/2018111760156237.png,images/drinking/Relentless_(drink).png,217,217,218
drinking,NOS (drink),You only live NOS.,https://www.sloganlist.com/upfile/201811/2018111759771829.png,images/drinking/NOS_(drink).png,209,170,150
drinking,Vault (drink),"Get it done, and then some.",https://www.sloganlist.com/upfile/201811/2018111759575937.png,images/drinking/Vault_(drink).png,39,36,35
drinking,Hype Energy Drinks,Feel the Hype.,https://www.sloganlist.com/upfile/201811/2018111759417093.jpg,images/drinking/Hype_Energy_Drinks.jpg,217,217,217
drinking,Goodricke tea,The tea people.,https://www.sloganlist.com/upfile/201811/2018111759132893.png,images/drinking/Goodricke_tea.png,4,140,36
drinking,BOH tea,Share the Ummph!,https://www.sloganlist.com/upfile/201811/2018111758930265.png,images/drinking/BOH_tea.png,236,66,34
drinking,Tavalon Tea,The future of tea.,https://www.sloganlist.com/upfile/201811/2018111758759237.jpg,images/drinking/Tavalon_Tea.jpg,31,45,30
drinking,Diet Coke,Light it up!,https://www.sloganlist.com/upfile/201901/2019010683123217.png,images/drinking/Diet_Coke.png,220,12,28
drinking,E & J Gallo Winery,The new art of wine.,https://www.sloganlist.com/upfile/201811/2018111238648705.png,images/drinking/E_&_J_Gallo_Winery.png,99,5,5
drinking,Greene King,Beer to Dine For.,https://www.sloganlist.com/upfile/201811/2018111237454797.png,images/drinking/Greene_King.png,164,108,28
drinking,Tapal Tea,Differ tastefully.,https://www.sloganlist.com/upfile/201811/2018111139759221.png,images/drinking/Tapal_Tea.png,236,28,36
drinking,Thums Up,Taste The Thunder.,https://www.sloganlist.com/upfile/201811/2018111079438673.jpg,images/drinking/Thums_Up.jpg,238,236,226
drinking,Chivas Regal,This is Chivas Life.,https://www.sloganlist.com/upfile/201811/2018111063619921.jpg,images/drinking/Chivas_Regal.jpg,214,214,214
drinking,Appleton Jamaica Rum,Raise your Rum!,https://www.sloganlist.com/upfile/202009/2020090239843397.png,images/drinking/Appleton_Jamaica_Rum.png,120,36,41
drinking,Kahlua,Awaken the spirit.,https://www.sloganlist.com/upfile/201811/2018111041694985.jpg,images/drinking/Kahlua.jpg,103,49,40
drinking,Courage Brewery,Take Courage.,https://www.sloganlist.com/upfile/202009/2020091500056398.png,images/drinking/Courage_Brewery.png,252,50,91
drinking,Kronenbourg 1664,Sit. Savour. 1664.,https://www.sloganlist.com/upfile/202009/2020091500420722.png,images/drinking/Kronenbourg_1664.png,105,87,150
drinking,Bass Brewery,A little bit of better.,https://www.sloganlist.com/upfile/202009/2020091534059377.png,images/drinking/Bass_Brewery.png,228,28,44
drinking,Labatt Brewing Company,Good things brewing.,https://www.sloganlist.com/upfile/202009/2020091534259201.png,images/drinking/Labatt_Brewing_Company.png,20,76,156
drinking,Kokanee beer,Straight from the Kootenays.,https://www.sloganlist.com/upfile/202009/2020090604572608.png,images/drinking/Kokanee_beer.png,19,96,168
drinking,Old Milwaukee,Taste as great as it's name.,https://www.sloganlist.com/upfile/202009/2020090604416915.png,images/drinking/Old_Milwaukee.png,226,186,124
drinking,Foster's Lager,Australian for beer.,https://www.sloganlist.com/upfile/202009/2020090604188048.png,images/drinking/Foster's_Lager.png,242,199,21
drinking,Amstel Brewery,Taste life. Pure Filtered.,https://www.sloganlist.com/upfile/201811/2018110659113361.PNG,images/drinking/Amstel_Brewery.PNG,211,191,135
drinking,Guinness,Guinness is Good for You.,https://www.sloganlist.com/upfile/201811/2018110658909549.png,images/drinking/Guinness.png,6,6,6
drinking,Seattle's Best Coffee,Great coffee everywhere.,https://www.sloganlist.com/upfile/202009/2020091537055149.png,images/drinking/Seattle's_Best_Coffee.png,215,208,208
drinking,Saxbys Coffee,Start your day fresh.,https://www.sloganlist.com/upfile/202009/2020091536654645.png,images/drinking/Saxbys_Coffee.png,228,77,77
drinking,Tchibo,Passionate about coffee.,https://www.sloganlist.com/upfile/201811/2018110182185505.png,images/drinking/Tchibo.png,228,201,95
drinking,Brim coffee,Fill it to the rim with Brim.,https://www.sloganlist.com/upfile/202009/2020091535828229.png,images/drinking/Brim_coffee.png,52,52,52
drinking,Sanka coffee,One fiddler you won't have to pay.,https://www.sloganlist.com/upfile/201907/2019070838180609.png,images/drinking/Sanka_coffee.png,59,60,60
drinking,Bombay Sapphire,Pour something priceless.,https://www.sloganlist.com/upfile/201811/2018110180032953.png,images/drinking/Bombay_Sapphire.png,37,48,91
